"","chaccu","orientation","corral.shape","corral.width","notes","east","north","length","elev.m"
"33",33,330,"square",4.016,NA,394847,8083862,69,4563
"34",34,210,"round",3.309,NA,397407,8082563,85,4531
"35",35,90,"round",4.025,"One branc is longer than the other",394438,8082577,150,4623
"36",36,210,"round",7.826,NA,399023,8083192,116,4564
"37",37,135,"round",8.84,NA,401868,8080689,96,4562
"38",38,120,"round",3.365,NA,397439,8078249,109,4655
"39",39,315,"ind",5.06,"Corral Shape Undefined",426603,8088475,69,4248
"40",40,160,"round",3.435,NA,400939,8076284,93,4664
"41",41,120,"round",3.602,"Corral undefined",418647,8079124,69,4480
"42",42,225,"square",3.466,"Shape is undefined",395528,8076197,71,4524
"43",43,135,"round",3.977,"Next to road",431483,8077688,79,4442
"44",44,330,"round",6.114,NA,430028,8086307,85,4208
"45",45,225,"round",9.267,"Next to road",432829,8084973,95,4241
"46",46,100,"round",3.976,NA,427735,8091681,66,4243
"47",48,350,"ind",NA,"Corral shape and width undefined",427435,8096915,56,4421
"48",49,170,"round",2.526,NA,426126,8099213,59,4445
"49",50,315,"ind",NA,"Corral Shape and Width undefined",428082,8125558,78,4146
"50",51,315,"round",2.81,NA,429336,8127363,80,4521
"51",52,350,"square",2.416,"Inside Fenced Area",439262,8121820,53,4378
"52",53,15,"square",3.946,NA,443090,8116180,65,4681
"53",54,45,"ind",3.422,"Corral is half square and half round",447425,8122208,84,4531
"54",55,350,"ind",3.523,NA,457173,8130491,62,3996
"55",56,315,"round",5.113,"corral walls not well defined",428757,8135190,59,4188
"56",57,170,"round",1.74,"Corral walls are thicker",432235,8135993,56,4322
"57",58,210,"round",2.849,"Two possible corrals",428239,8138437,47,4249
"58",59,135,"round",2.111,"Corral is filled in",440451,8134534,56,4907
"59",60,270,"round",2.69,NA,428403,8139910,58,4504
"60",61,270,"round",3.758,NA,428334,8143355,56,4595
"61",62,330,"round",2.33,NA,429192,8143953,48,4643
"62",63,90,"round",1.789,NA,430068,8144453,51,4608
"63",65,315,"round",3.972,"One of the walls is not straight",431949,8144560,68,4516
"64",66,330,"round",2.958,"",432363,8145560,81,4268
"65",67,270,"round",4.729,"on hill",440389,8140996,69,4815
"66",68,190,"round",3.102,NA,441644,8143369,84,4744
"67",69,315,"round",2.982,NA,441603,8148952,56,4383
"68",70,225,"round",6.08,NA,441958,8149498,72,4381
"69",71,225,"ind",NA,"Corral not defined",441764,8143109,78,4698
"70",72,225,"ind",NA,"Corral not well defined",449222,8145780,62,4718
"71",73,225,"ind",NA,"Corral not present",450885,8142966,76,4443
"72",74,315,"ind",NA,"no corral is present/ wider than other corrals",458804,8145874,46,4297
"73",75,300,"round",4.129,NA,459865,8142646,56,4090
"75",78,280,"round",2.561,"Pile near corral ",374164,8142164,75,4850
"76",79,270,"round",3.215,NA,374254,8141849,53,4910
"77",80,45,"ind",NA,"Corral Width IND",384040,8138565,105,4791
"78",81,280,"ind",NA,"Corral Width IND",368400,8150226,65,4637
"79",82,290,"round",2.781,NA,368606,8150615,53,4595
"80",83,280,"round",4.865,NA,373200,8154631,48,4579
"81",84,150,"round",3.315,NA,373441,8155450,66,4658
"82",85,280,"round",3.505,NA,372670,8156138,50,4683
"83",86,150,"round",3.852,NA,367003,8159923,71,4667
"84",87,290,"ind",NA,"Corral Width IND",368843,8169752,38,4754
"85",88,180,"ind",3.61,"over changes in incline",369081,8170394,104,4857
"86",89,210,"round",4.88,NA,351803,8170788,66,4465
"87",90,300,"round",5.992,NA,338771,8187767,84,4821
"88",91,150,"ind",NA,"Corral Width IND",352706,8196645,28,4926
"89",92,300,"ind",NA,"Corral Width IND",349601,8201208,44,4553
"90",93,180,"ind",NA,"Corral Width IND",362956,8204194,70,4738
